epoch,phase,train_loss,train_acc,val_loss,val_acc
1,1,1.2021,58.98,0.9247,79.50
2,1,0.8177,73.90,0.6373,82.10
3,1,0.6610,76.80,0.5263,83.50
4,1,0.6033,78.50,0.4939,84.30
5,1,0.5708,79.03,0.4400,85.80
6,1,0.5394,80.53,0.4259,85.80
7,1,0.5430,79.38,0.4092,86.80
8,1,0.5387,79.58,0.3971,86.90
9,1,0.5172,81.08,0.3942,85.90
10,1,0.5079,81.05,0.3802,86.60
11,1,0.5132,80.55,0.3721,88.30
12,1,0.5055,81.25,0.3747,87.70
13,1,0.5036,80.60,0.3732,87.40
14,1,0.4754,82.20,0.3538,88.30
15,1,0.4714,82.12,0.3472,88.50
16,2,0.4498,82.80,0.3003,89.70
17,2,0.3844,85.28,0.2631,91.10
18,2,0.3545,86.72,0.2371,91.50
19,2,0.2935,88.90,0.2191,92.00
20,2,0.2706,89.75,0.1983,92.60
21,2,0.2633,89.85,0.1742,93.60
22,2,0.2096,92.42,0.1751,93.60
23,2,0.2111,92.10,0.1506,94.50
24,2,0.2075,92.05,0.1352,95.10
25,2,0.1859,93.03,0.1264,95.40
26,2,0.1743,93.08,0.1267,95.60
27,2,0.1571,94.03,0.1131,96.20
28,2,0.1425,94.35,0.1042,96.10
29,2,0.1296,95.35,0.1112,96.20
30,2,0.1371,94.70,0.1065,96.40
